"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,35-44,"ผ่อนทอง 0% June 2026",1.77,111,141,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"ผ่อนทอง 0% June 2026",1.72,102,109,3,4,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",female,65+,"Pay Day 25-30 June 2026",1.72,33,37,4,4,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,18-24,"Aurora Mid Year Gold Sale  25- 30 Jun 26",1.69,59,79,2,,1,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Branding - เปลี่ยนโอากาสพิเศษ",1.69,93,95,3,3,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,18-24,"Gems of The Day  21- 30 Jun 26",1.68,36,64,,,5,2,16290,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,35-44,"Test - Trust - ช่องทางชำระเงิน",1.68,95,100,1,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",1.67,38,60,1,1,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,25-34,"ผ่อนทอง 0% June 2026",1.64,90,120,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",1.57,87,94,1,1,1,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,65+,"Aurora Mid Year Gold Sale  25- 30 Jun 26",1.44,28,37,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",male,45-54,"Pay Day 25-30 June 2026",1.27,51,53,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,45-54,"Test - Trust - ช่องทางชำระเงิน",1.15,72,74,1,1,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,55-64,"Gems of The Day  21- 30 Jun 26",1.09,26,35,,,1,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"Aurora Mid Year Gold Sale  25- 30 Jun 26",1.09,38,50,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,55-64,"Test - Trust - ช่องทางชำระเงิน",1.06,74,77,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"ผ่อนทอง 0% June 2026",1.05,41,47,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,35-44,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0.98,61,66,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",0.95,21,31,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"ผ่อนทอง 0% June 2026",0.91,32,41,1,1,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,45-54,"Test - Trust - ช่องทางชำระเงิน",0.87,61,61,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"ผ่อนทอง 0% June 2026",0.86,50,62,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,65+,"Aurora Mid Year Gold Sale  25- 30 Jun 26",0.78,22,28,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,55-64,"Gems of The Day  21- 30 Jun 26",0.71,14,26,,,3,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,45-54,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0.7,56,57,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"Aurora Mid Year Gold Sale  25- 30 Jun 26",0.69,5,6,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,18-24,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.67,55,56,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Retargeting",female,55-64,"Pay Day 25-30 June 2026",0.62,22,22,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,45-54,"ผ่อนทอง 0% June 2026",0.61,34,39,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,25-34,"Aurora Mid Year Gold Sale  25- 30 Jun 26",0.6,14,18,,,2,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",unknown,35-44,"Pay Day 25-30 June 2026",0.6,18,21,,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Retargeting",male,25-34,"Pay Day 25-30 June 2026",0.55,19,19,1,,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,unknown,18-24,"Test - Service - ทองแท้ 96.5",0.5300144,40,47,1,1,,,,2026-06-30,2026-06-30
