"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,unknown,25-34,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,35-44,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,35-44,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,unknown,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,65+,"Trust - ช่องทางชำระเงิน",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,18-24,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.00999911,2,2,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,65+,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.00999911,1,1,,,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"ผ่อนทอง 0% July 2026",0,0,0,,,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,2,1,2329,2026-08-04,2026-08-10
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,6,1,2387,2026-08-04,2026-08-10
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% July 2026",0,0,0,,,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,1,65289,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,2,1,2372,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,9,1,16494,2026-08-04,2026-08-10
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,1,16671,2026-08-04,2026-08-10
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,4,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,45-54,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,4,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,1,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Lookalike,male,55-64,ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ,0,0,0,,,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,unknown,55-64,"Happy Mother Day -  1-12 Aug",0,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,unknown,65+,"Happy Mother Day -  1-12 Aug",0,1,1,,,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",unknown,Unknown,"Live - 4 Aug 2026",0,0,0,,2,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,Unknown,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0,0,0,,3,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,Unknown,"Branding - เปลี่ยนโอากาสพิเศษ",0,0,0,,3,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,Unknown,"Branding - เปลี่ยนโอากาสพิเศษ",0,0,0,,11,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,Unknown,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0,0,0,,1,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,Unknown,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0,0,0,,1,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,unknown,Unknown,"ผ่อนทอง 0% Aug 2026",0,0,0,,2,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,Unknown,"พระประจำวันเกิด 1-31 Aug 26",0,0,0,,1,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,Unknown,"พระประจำวันเกิด 1-31 Aug 26",0,0,0,,1,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"นาคครุฑเสริมบารมี  1-10 Aug",0,0,0,,1,,,,2026-08-04,2026-08-10
