"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"12 พลังปีเกิด July 2026",300.1880992,11631,15901,239,228,2,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,45-54,"Live - 15 July 2026",289.54604524,5252,5664,94,63,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",288.80958247,1837,3841,80,67,8,5,46767,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"12 พลังปีเกิด July 2026",282.85713637,8808,14108,227,187,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Retargeting",female,35-44,"Live - 15 July 2026",276.95244928,6684,7740,40,44,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,55-64,"Live - 15 July 2026",276.61626384,3801,4108,94,56,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"ผ่อนทอง 0% July 2026",273.89881406,7690,11668,231,194,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"12 พลังปีเกิด July 2026",262.93254558,20156,23813,266,245,2,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",256.43677044,1565,3942,63,53,11,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"12 พลังปีเกิด July 2026",254.64647769,9248,13786,181,156,3,1,3190,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"ผ่อนทอง 0% July 2026",248.27769993,10166,15075,236,215,8,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"12 พลังปีเกิด July 2026",247.22104004,15578,19449,260,241,5,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,25-34,"Test - Service - ทองแท้ 96.5",238.62782311,14620,19268,265,262,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"12 พลังปีเกิด July 2026",237.99020518,13804,17525,224,210,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,18-24,"Live - 15 July 2026",217.81936796,11123,12158,42,34,5,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,45-54,"Live - 15 July 2026",217.62166488,4389,4707,68,50,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Retargeting",female,25-34,"Live - 15 July 2026",217.61182215,7780,8437,60,59,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"12 พลังปีเกิด July 2026",213.2361529,9342,13006,154,140,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"ผ่อนทอง 0% July 2026",204.81884799,14191,19247,267,246,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,18-24,"Live - 15 July 2026",195.3207575,9929,10903,47,38,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,18-24,"ผ่อนทอง 0% July 2026",189.38215173,13492,18491,245,219,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"ผ่อนทอง 0% July 2026",186.15074999,6922,10522,181,177,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Special Deals 12-14 July",170.65661484,1322,2931,52,48,9,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ผ่อนทอง 0% July 2026",164.16174091,1412,4006,31,21,12,1,49469,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,male,35-44,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",162.06225848,9840,12885,177,169,,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Special Deals 12-14 July",161.62838101,864,1758,31,24,2,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Lookalike,male,35-44,ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ,149.27900562,9992,12468,152,143,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,45-54,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",145.84902258,7682,10745,149,145,,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ผ่อนทอง 0% July 2026",135.62841399,915,2723,33,28,18,1,7060,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,55-64,"ผ่อนทอง 0% July 2026",130.11665851,4608,6498,95,93,,,,2026-07-14,2026-07-20
