"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,18-24,"Trust - ช่องทางชำระเงิน",0.04,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,18-24,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,3,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,35-44,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.04,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,65+,"Trust - ช่องทางชำระเงิน",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,18-24,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.04,4,4,1,1,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,18-24,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.04,2,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,25-34,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,35-44,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,45-54,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,45-54,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,male,55-64,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,65+,"Trust - ช่องทางชำระเงิน",0.04,2,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,65+,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"ผ่อนทอง 0% Aug 2026",0.04,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,65+,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.04,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"ผ่อนทอง 0% Aug 2026",0.04,1,1,,,,,,2026-08-11,2026-08-17
