"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Card customize 15-29 May 2026-Conversion",0.25000191,3,8,1,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"Card customize 15-29 May 2026",0.18,19,20,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,25-34,"Card customize 15-29 May 2026",0.11,6,6,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,35-44,"Card customize 15-29 May 2026",0.1,6,6,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"Card customize 15-29 May 2026",0.07,5,5,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,45-54,"Card customize 15-29 May 2026",0.06,2,2,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"Card customize 15-29 May 2026-Conversion",0.05000038,2,4,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,65+,"Card customize 15-29 May 2026",0.05,1,5,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"Card customize 15-29 May 2026",0.03,3,3,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,45-54,"Card customize 15-29 May 2026",0.03,2,3,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,18-24,"Card customize 15-29 May 2026",0.01,1,1,,,,,,2026-05-12,2026-05-18
